web-scraper-order,web-scraper-start-url,month,month-href,days,days-href,news
1698772080-1,https://timesofindia.indiatimes.com/archive.cms,May,"https://timesofindia.indiatimes.com/archive/year-2020,month-5.cms",31,"https://timesofindia.indiatimes.com/2020/5/31/archivelist/year-2020,month-5,starttime-43982.cms",Yuva Rajkumar to debut with a historical film
1698772080-2,https://timesofindia.indiatimes.com/archive.cms,May,"https://timesofindia.indiatimes.com/archive/year-2020,month-5.cms",31,"https://timesofindia.indiatimes.com/2020/5/31/archivelist/year-2020,month-5,starttime-43982.cms",Kannada film industry bats for resumption of shoots
1698772080-3,https://timesofindia.indiatimes.com/archive.cms,May,"https://timesofindia.indiatimes.com/archive/year-2020,month-5.cms",31,"https://timesofindia.indiatimes.com/2020/5/31/archivelist/year-2020,month-5,starttime-43982.cms","Srijit to organise an online adda to celebrate the second anniversary of his film, Uma"
1698772080-4,https://timesofindia.indiatimes.com/archive.cms,May,"https://timesofindia.indiatimes.com/archive/year-2020,month-5.cms",31,"https://timesofindia.indiatimes.com/2020/5/31/archivelist/year-2020,month-5,starttime-43982.cms",Coronavirus cases cross 300-mark in Himachal as 18 more test positive; 24 recover
1698772080-5,https://timesofindia.indiatimes.com/archive.cms,May,"https://timesofindia.indiatimes.com/archive/year-2020,month-5.cms",31,"https://timesofindia.indiatimes.com/2020/5/31/archivelist/year-2020,month-5,starttime-43982.cms",Monami's vlogging experience help her to shoot at home
1698772080-6,https://timesofindia.indiatimes.com/archive.cms,May,"https://timesofindia.indiatimes.com/archive/year-2020,month-5.cms",31,"https://timesofindia.indiatimes.com/2020/5/31/archivelist/year-2020,month-5,starttime-43982.cms",College students come forward to help Amphan victims
1698772080-7,https://timesofindia.indiatimes.com/archive.cms,May,"https://timesofindia.indiatimes.com/archive/year-2020,month-5.cms",31,"https://timesofindia.indiatimes.com/2020/5/31/archivelist/year-2020,month-5,starttime-43982.cms",Rahul's shooting from home experience during lockdown
1698772080-8,https://timesofindia.indiatimes.com/archive.cms,May,"https://timesofindia.indiatimes.com/archive/year-2020,month-5.cms",31,"https://timesofindia.indiatimes.com/2020/5/31/archivelist/year-2020,month-5,starttime-43982.cms",Devlina enjoys her first television debut shoot
1698772080-9,https://timesofindia.indiatimes.com/archive.cms,May,"https://timesofindia.indiatimes.com/archive/year-2020,month-5.cms",31,"https://timesofindia.indiatimes.com/2020/5/31/archivelist/year-2020,month-5,starttime-43982.cms",Breather for TV productions as government increases crew limit for shoots to 60 people
1698772080-10,https://timesofindia.indiatimes.com/archive.cms,May,"https://timesofindia.indiatimes.com/archive/year-2020,month-5.cms",31,"https://timesofindia.indiatimes.com/2020/5/31/archivelist/year-2020,month-5,starttime-43982.cms",Annwesha's family help her shoot special episodes
1698772080-11,https://timesofindia.indiatimes.com/archive.cms,May,"https://timesofindia.indiatimes.com/archive/year-2020,month-5.cms",31,"https://timesofindia.indiatimes.com/2020/5/31/archivelist/year-2020,month-5,starttime-43982.cms",Thiruppugazh inspired me to write symphonic music: Pradeep Kumar
1698772080-12,https://timesofindia.indiatimes.com/archive.cms,May,"https://timesofindia.indiatimes.com/archive/year-2020,month-5.cms",31,"https://timesofindia.indiatimes.com/2020/5/31/archivelist/year-2020,month-5,starttime-43982.cms",My mother held camera for me: Anamika Chakraborty
1698772080-13,https://timesofindia.indiatimes.com/archive.cms,May,"https://timesofindia.indiatimes.com/archive/year-2020,month-5.cms",31,"https://timesofindia.indiatimes.com/2020/5/31/archivelist/year-2020,month-5,starttime-43982.cms",#WorldNoTobaccoDay: Has the lockdown helped in cutting down on smoking?
1698772080-14,https://timesofindia.indiatimes.com/archive.cms,May,"https://timesofindia.indiatimes.com/archive/year-2020,month-5.cms",31,"https://timesofindia.indiatimes.com/2020/5/31/archivelist/year-2020,month-5,starttime-43982.cms",I wanted to boost the morale of the people: Mahesh Manjrekar
1698772080-15,https://timesofindia.indiatimes.com/archive.cms,May,"https://timesofindia.indiatimes.com/archive/year-2020,month-5.cms",31,"https://timesofindia.indiatimes.com/2020/5/31/archivelist/year-2020,month-5,starttime-43982.cms",Sharad Malhotra: Lockdown has taught me to not take things for granted
1698772080-16,https://timesofindia.indiatimes.com/archive.cms,May,"https://timesofindia.indiatimes.com/archive/year-2020,month-5.cms",31,"https://timesofindia.indiatimes.com/2020/5/31/archivelist/year-2020,month-5,starttime-43982.cms",Apurva Asrani: Sid and I have the blessings of our families today
1698772080-17,https://timesofindia.indiatimes.com/archive.cms,May,"https://timesofindia.indiatimes.com/archive/year-2020,month-5.cms",31,"https://timesofindia.indiatimes.com/2020/5/31/archivelist/year-2020,month-5,starttime-43982.cms",Family under Rs 9L debt after Covid treatment
1698772080-18,https://timesofindia.indiatimes.com/archive.cms,May,"https://timesofindia.indiatimes.com/archive/year-2020,month-5.cms",31,"https://timesofindia.indiatimes.com/2020/5/31/archivelist/year-2020,month-5,starttime-43982.cms",Un-mask your real self with these masks
1698772080-19,https://timesofindia.indiatimes.com/archive.cms,May,"https://timesofindia.indiatimes.com/archive/year-2020,month-5.cms",31,"https://timesofindia.indiatimes.com/2020/5/31/archivelist/year-2020,month-5,starttime-43982.cms",8 held for hosting rally for murder accused
1698772080-20,https://timesofindia.indiatimes.com/archive.cms,May,"https://timesofindia.indiatimes.com/archive/year-2020,month-5.cms",31,"https://timesofindia.indiatimes.com/2020/5/31/archivelist/year-2020,month-5,starttime-43982.cms",Karnataka bans chewing of tobacco
1698772080-21,https://timesofindia.indiatimes.com/archive.cms,May,"https://timesofindia.indiatimes.com/archive/year-2020,month-5.cms",31,"https://timesofindia.indiatimes.com/2020/5/31/archivelist/year-2020,month-5,starttime-43982.cms",Madhuri Dixit Nene: No one knew about my passion for singing because I never spoke about it
1698772080-22,https://timesofindia.indiatimes.com/archive.cms,May,"https://timesofindia.indiatimes.com/archive/year-2020,month-5.cms",31,"https://timesofindia.indiatimes.com/2020/5/31/archivelist/year-2020,month-5,starttime-43982.cms","Speculations over, Sanjay Kundu takes over as new Himachal Pradesh Police chief"
1698772080-23,https://timesofindia.indiatimes.com/archive.cms,May,"https://timesofindia.indiatimes.com/archive/year-2020,month-5.cms",31,"https://timesofindia.indiatimes.com/2020/5/31/archivelist/year-2020,month-5,starttime-43982.cms",Two arrested in Haryana for sending two men to US illegally
1698772080-24,https://timesofindia.indiatimes.com/archive.cms,May,"https://timesofindia.indiatimes.com/archive/year-2020,month-5.cms",31,"https://timesofindia.indiatimes.com/2020/5/31/archivelist/year-2020,month-5,starttime-43982.cms",Sidhu Moose Wala firing case: Three more get bail
1698772080-25,https://timesofindia.indiatimes.com/archive.cms,May,"https://timesofindia.indiatimes.com/archive/year-2020,month-5.cms",31,"https://timesofindia.indiatimes.com/2020/5/31/archivelist/year-2020,month-5,starttime-43982.cms",‘Lockdown extension will affect school education in country’
1698772080-26,https://timesofindia.indiatimes.com/archive.cms,May,"https://timesofindia.indiatimes.com/archive/year-2020,month-5.cms",31,"https://timesofindia.indiatimes.com/2020/5/31/archivelist/year-2020,month-5,starttime-43982.cms",‘Lockdown extension will affect school education in country’
1698772080-27,https://timesofindia.indiatimes.com/archive.cms,May,"https://timesofindia.indiatimes.com/archive/year-2020,month-5.cms",31,"https://timesofindia.indiatimes.com/2020/5/31/archivelist/year-2020,month-5,starttime-43982.cms","There is no proof that hard work brings more money and happiness, says US writer Celeste Headlee"
1698772080-28,https://timesofindia.indiatimes.com/archive.cms,May,"https://timesofindia.indiatimes.com/archive/year-2020,month-5.cms",31,"https://timesofindia.indiatimes.com/2020/5/31/archivelist/year-2020,month-5,starttime-43982.cms",Rashmika responds to Samantha’s comments about her
1698772080-29,https://timesofindia.indiatimes.com/archive.cms,May,"https://timesofindia.indiatimes.com/archive/year-2020,month-5.cms",31,"https://timesofindia.indiatimes.com/2020/5/31/archivelist/year-2020,month-5,starttime-43982.cms",Andrea Jeremiah to judge a lockdown talent hunt
1698772080-30,https://timesofindia.indiatimes.com/archive.cms,May,"https://timesofindia.indiatimes.com/archive/year-2020,month-5.cms",31,"https://timesofindia.indiatimes.com/2020/5/31/archivelist/year-2020,month-5,starttime-43982.cms",'Have to live with Covid & sustain ourselves'
1698772080-31,https://timesofindia.indiatimes.com/archive.cms,May,"https://timesofindia.indiatimes.com/archive/year-2020,month-5.cms",31,"https://timesofindia.indiatimes.com/2020/5/31/archivelist/year-2020,month-5,starttime-43982.cms",Conduct sero-survey to track Covid spread: ICMR to states
1698772080-32,https://timesofindia.indiatimes.com/archive.cms,May,"https://timesofindia.indiatimes.com/archive/year-2020,month-5.cms",31,"https://timesofindia.indiatimes.com/2020/5/31/archivelist/year-2020,month-5,starttime-43982.cms","India, China talking though diplomatic, military channels to resolve Ladakh standoff: Rajnath Singh"
1698772080-33,https://timesofindia.indiatimes.com/archive.cms,May,"https://timesofindia.indiatimes.com/archive/year-2020,month-5.cms",31,"https://timesofindia.indiatimes.com/2020/5/31/archivelist/year-2020,month-5,starttime-43982.cms",Ahmedabad Metro services to stay shut
1698772080-34,https://timesofindia.indiatimes.com/archive.cms,May,"https://timesofindia.indiatimes.com/archive/year-2020,month-5.cms",31,"https://timesofindia.indiatimes.com/2020/5/31/archivelist/year-2020,month-5,starttime-43982.cms",Ahmedabad: Son of retired DSP shoots himself with father’s revolver
1698772080-35,https://timesofindia.indiatimes.com/archive.cms,May,"https://timesofindia.indiatimes.com/archive/year-2020,month-5.cms",31,"https://timesofindia.indiatimes.com/2020/5/31/archivelist/year-2020,month-5,starttime-43982.cms","Mercury dips across Gujarat, Ahmedabad remains one of the hottest"
1698772080-36,https://timesofindia.indiatimes.com/archive.cms,May,"https://timesofindia.indiatimes.com/archive/year-2020,month-5.cms",31,"https://timesofindia.indiatimes.com/2020/5/31/archivelist/year-2020,month-5,starttime-43982.cms",Unlock 1: CM Vijay Rupani lifts more restrictions
1698772080-37,https://timesofindia.indiatimes.com/archive.cms,May,"https://timesofindia.indiatimes.com/archive/year-2020,month-5.cms",31,"https://timesofindia.indiatimes.com/2020/5/31/archivelist/year-2020,month-5,starttime-43982.cms","West Bengal: Malls, restaurants get going to put new-normal rules in place"
1698772080-38,https://timesofindia.indiatimes.com/archive.cms,May,"https://timesofindia.indiatimes.com/archive/year-2020,month-5.cms",31,"https://timesofindia.indiatimes.com/2020/5/31/archivelist/year-2020,month-5,starttime-43982.cms","Kolkata: From jewellery to potato, shops see a Covid-19 change"
1698772080-39,https://timesofindia.indiatimes.com/archive.cms,May,"https://timesofindia.indiatimes.com/archive/year-2020,month-5.cms",31,"https://timesofindia.indiatimes.com/2020/5/31/archivelist/year-2020,month-5,starttime-43982.cms",NRK forums in Gulf to charter flights to Kerala
1698772080-40,https://timesofindia.indiatimes.com/archive.cms,May,"https://timesofindia.indiatimes.com/archive/year-2020,month-5.cms",31,"https://timesofindia.indiatimes.com/2020/5/31/archivelist/year-2020,month-5,starttime-43982.cms","For now, Puri off passenger train grid"
