web-scraper-order,web-scraper-start-url,month,month-href,days,days-href,news
1698763290-1,https://timesofindia.indiatimes.com/archive.cms,February,"https://timesofindia.indiatimes.com/archive/year-2022,month-2.cms",28,"https://timesofindia.indiatimes.com/2022/2/28/archivelist/year-2022,month-2,starttime-44620.cms","Crooned by Upendra, this Dear Sathya song is already popular among masses"
1698763290-2,https://timesofindia.indiatimes.com/archive.cms,February,"https://timesofindia.indiatimes.com/archive/year-2022,month-2.cms",28,"https://timesofindia.indiatimes.com/2022/2/28/archivelist/year-2022,month-2,starttime-44620.cms",Mouni and Suraj celebrate their one-month anniversary in Bengaluru
1698763290-3,https://timesofindia.indiatimes.com/archive.cms,February,"https://timesofindia.indiatimes.com/archive/year-2022,month-2.cms",28,"https://timesofindia.indiatimes.com/2022/2/28/archivelist/year-2022,month-2,starttime-44620.cms",I used to call my cop friends with the silliest of doubts: Lakshmi Manchu
1698763290-4,https://timesofindia.indiatimes.com/archive.cms,February,"https://timesofindia.indiatimes.com/archive/year-2022,month-2.cms",28,"https://timesofindia.indiatimes.com/2022/2/28/archivelist/year-2022,month-2,starttime-44620.cms",Hope we are evacuated soon: Mysuru student in Ukraine
1698763290-5,https://timesofindia.indiatimes.com/archive.cms,February,"https://timesofindia.indiatimes.com/archive/year-2022,month-2.cms",28,"https://timesofindia.indiatimes.com/2022/2/28/archivelist/year-2022,month-2,starttime-44620.cms",Priyanka Thimmesh stars in Tamil romantic number
1698763290-6,https://timesofindia.indiatimes.com/archive.cms,February,"https://timesofindia.indiatimes.com/archive/year-2022,month-2.cms",28,"https://timesofindia.indiatimes.com/2022/2/28/archivelist/year-2022,month-2,starttime-44620.cms",We can hear bombing and shootings near our hostel: Tamil student in Ukraine
1698763290-7,https://timesofindia.indiatimes.com/archive.cms,February,"https://timesofindia.indiatimes.com/archive/year-2022,month-2.cms",28,"https://timesofindia.indiatimes.com/2022/2/28/archivelist/year-2022,month-2,starttime-44620.cms","Students in war zone, FS asks Russia, Ukraine envoys to ensure their safety"
1698763290-8,https://timesofindia.indiatimes.com/archive.cms,February,"https://timesofindia.indiatimes.com/archive/year-2022,month-2.cms",28,"https://timesofindia.indiatimes.com/2022/2/28/archivelist/year-2022,month-2,starttime-44620.cms",Dombivali: KDMC cracks down on booster pump and unauthorised tap connection at Nandivali
1698763290-9,https://timesofindia.indiatimes.com/archive.cms,February,"https://timesofindia.indiatimes.com/archive/year-2022,month-2.cms",28,"https://timesofindia.indiatimes.com/2022/2/28/archivelist/year-2022,month-2,starttime-44620.cms",Rhea Chakraborty showers love on newlyweds Farhan Akhtar and Shibani Dandekar; pens a heartfelt note
1698763290-10,https://timesofindia.indiatimes.com/archive.cms,February,"https://timesofindia.indiatimes.com/archive/year-2022,month-2.cms",28,"https://timesofindia.indiatimes.com/2022/2/28/archivelist/year-2022,month-2,starttime-44620.cms",A musical evening organised by Spanish Embassy
1698763290-11,https://timesofindia.indiatimes.com/archive.cms,February,"https://timesofindia.indiatimes.com/archive/year-2022,month-2.cms",28,"https://timesofindia.indiatimes.com/2022/2/28/archivelist/year-2022,month-2,starttime-44620.cms","Nobody in Ukraine really expected this war: Elena Welter, a Ukrainian consultant working in Gurgaon"
1698763290-12,https://timesofindia.indiatimes.com/archive.cms,February,"https://timesofindia.indiatimes.com/archive/year-2022,month-2.cms",28,"https://timesofindia.indiatimes.com/2022/2/28/archivelist/year-2022,month-2,starttime-44620.cms",Expected it to run for at least a year: Shrenu Parikh on Ghar Ek Mandir–Kripa Agrasen Maharaj Ki going off air
1698763290-13,https://timesofindia.indiatimes.com/archive.cms,February,"https://timesofindia.indiatimes.com/archive/year-2022,month-2.cms",28,"https://timesofindia.indiatimes.com/2022/2/28/archivelist/year-2022,month-2,starttime-44620.cms",A musical evening organised by Spanish Embassy
1698763290-14,https://timesofindia.indiatimes.com/archive.cms,February,"https://timesofindia.indiatimes.com/archive/year-2022,month-2.cms",28,"https://timesofindia.indiatimes.com/2022/2/28/archivelist/year-2022,month-2,starttime-44620.cms",‘Ukraine was becoming a popular shoot location with Indian filmmakers’
1698763290-15,https://timesofindia.indiatimes.com/archive.cms,February,"https://timesofindia.indiatimes.com/archive/year-2022,month-2.cms",28,"https://timesofindia.indiatimes.com/2022/2/28/archivelist/year-2022,month-2,starttime-44620.cms","Huma Qureshi arranges a special screening of her film 'Valimai'; Jahnvi Kapoor, Khushi Kapoor, Boney and other celebs attend"
1698763290-16,https://timesofindia.indiatimes.com/archive.cms,February,"https://timesofindia.indiatimes.com/archive/year-2022,month-2.cms",28,"https://timesofindia.indiatimes.com/2022/2/28/archivelist/year-2022,month-2,starttime-44620.cms",Liverpool beat Chelsea 11-10 on penalties to win League Cup
1698763290-17,https://timesofindia.indiatimes.com/archive.cms,February,"https://timesofindia.indiatimes.com/archive/year-2022,month-2.cms",28,"https://timesofindia.indiatimes.com/2022/2/28/archivelist/year-2022,month-2,starttime-44620.cms",India abstains on resolution to call for UN General Assembly session on Ukraine
1698763290-18,https://timesofindia.indiatimes.com/archive.cms,February,"https://timesofindia.indiatimes.com/archive/year-2022,month-2.cms",28,"https://timesofindia.indiatimes.com/2022/2/28/archivelist/year-2022,month-2,starttime-44620.cms",Facing Ukrainian ire after India's UN move: Students
1698763290-19,https://timesofindia.indiatimes.com/archive.cms,February,"https://timesofindia.indiatimes.com/archive/year-2022,month-2.cms",28,"https://timesofindia.indiatimes.com/2022/2/28/archivelist/year-2022,month-2,starttime-44620.cms",Committed to bringing every Indian back from Ukraine: PM
1698763290-20,https://timesofindia.indiatimes.com/archive.cms,February,"https://timesofindia.indiatimes.com/archive/year-2022,month-2.cms",28,"https://timesofindia.indiatimes.com/2022/2/28/archivelist/year-2022,month-2,starttime-44620.cms","Ukraine crisis: Putin raises nuclear alert status, US stays calm"
1698763290-21,https://timesofindia.indiatimes.com/archive.cms,February,"https://timesofindia.indiatimes.com/archive/year-2022,month-2.cms",28,"https://timesofindia.indiatimes.com/2022/2/28/archivelist/year-2022,month-2,starttime-44620.cms",Sharp fuel hike likely as crude tops $100/barrel
1698763290-22,https://timesofindia.indiatimes.com/archive.cms,February,"https://timesofindia.indiatimes.com/archive/year-2022,month-2.cms",28,"https://timesofindia.indiatimes.com/2022/2/28/archivelist/year-2022,month-2,starttime-44620.cms","Nadda's Twitter a/c hacked, messages on Ukraine posted"
1698763290-23,https://timesofindia.indiatimes.com/archive.cms,February,"https://timesofindia.indiatimes.com/archive/year-2022,month-2.cms",28,"https://timesofindia.indiatimes.com/2022/2/28/archivelist/year-2022,month-2,starttime-44620.cms","Ukraine crisis: Girl stays put for landlord's wife, kids"
1698763290-24,https://timesofindia.indiatimes.com/archive.cms,February,"https://timesofindia.indiatimes.com/archive/year-2022,month-2.cms",28,"https://timesofindia.indiatimes.com/2022/2/28/archivelist/year-2022,month-2,starttime-44620.cms","Gurugram: Helps spike food & drinks, flee with cash, jewellery"
1698763290-25,https://timesofindia.indiatimes.com/archive.cms,February,"https://timesofindia.indiatimes.com/archive/year-2022,month-2.cms",28,"https://timesofindia.indiatimes.com/2022/2/28/archivelist/year-2022,month-2,starttime-44620.cms",No ticket in Gurugram buses? Tech upgrade soon to track you on camera
