web-scraper-order,web-scraper-start-url,month,month-href,days,days-href,news
1698765879-1,https://timesofindia.indiatimes.com/archive.cms,July,"https://timesofindia.indiatimes.com/archive/year-2022,month-7.cms",31,"https://timesofindia.indiatimes.com/2022/7/31/archivelist/year-2022,month-7,starttime-44773.cms",Exclusive: Ganesh sir and Yogaraj Bhat sir put me at ease: Nishvika Naidu
1698765879-2,https://timesofindia.indiatimes.com/archive.cms,July,"https://timesofindia.indiatimes.com/archive/year-2022,month-7.cms",31,"https://timesofindia.indiatimes.com/2022/7/31/archivelist/year-2022,month-7,starttime-44773.cms",Himachal Pradesh reports 873 new Covid-19 and 2 deaths
1698765879-3,https://timesofindia.indiatimes.com/archive.cms,July,"https://timesofindia.indiatimes.com/archive/year-2022,month-7.cms",31,"https://timesofindia.indiatimes.com/2022/7/31/archivelist/year-2022,month-7,starttime-44773.cms",Sunil Kumar upsets Anuj Uppal in HS Bhogal 6-Red snooker meet
1698765879-4,https://timesofindia.indiatimes.com/archive.cms,July,"https://timesofindia.indiatimes.com/archive/year-2022,month-7.cms",31,"https://timesofindia.indiatimes.com/2022/7/31/archivelist/year-2022,month-7,starttime-44773.cms",Srihari Nataraj hopeful of fine show in final
1698765879-5,https://timesofindia.indiatimes.com/archive.cms,July,"https://timesofindia.indiatimes.com/archive/year-2022,month-7.cms",31,"https://timesofindia.indiatimes.com/2022/7/31/archivelist/year-2022,month-7,starttime-44773.cms",Sanket Sargar on clinching silver medal at CWG 2022: I am sad as I wanted to stand for gold
1698765879-6,https://timesofindia.indiatimes.com/archive.cms,July,"https://timesofindia.indiatimes.com/archive/year-2022,month-7.cms",31,"https://timesofindia.indiatimes.com/2022/7/31/archivelist/year-2022,month-7,starttime-44773.cms",Record-shattering Mirabai Chanu bags India's first gold at Birmingham Commonwealth Games
1698765879-7,https://timesofindia.indiatimes.com/archive.cms,July,"https://timesofindia.indiatimes.com/archive/year-2022,month-7.cms",31,"https://timesofindia.indiatimes.com/2022/7/31/archivelist/year-2022,month-7,starttime-44773.cms","Two pilots fail dope test, a first since checks began in India six months back"
1698765879-8,https://timesofindia.indiatimes.com/archive.cms,July,"https://timesofindia.indiatimes.com/archive/year-2022,month-7.cms",31,"https://timesofindia.indiatimes.com/2022/7/31/archivelist/year-2022,month-7,starttime-44773.cms",0 percentile can get super specialty medical seat
1698765879-9,https://timesofindia.indiatimes.com/archive.cms,July,"https://timesofindia.indiatimes.com/archive/year-2022,month-7.cms",31,"https://timesofindia.indiatimes.com/2022/7/31/archivelist/year-2022,month-7,starttime-44773.cms","Abhilash Thapliyal: For me, the most exciting thing in Delhi was to have chuski or barf ka gola"
1698765879-10,https://timesofindia.indiatimes.com/archive.cms,July,"https://timesofindia.indiatimes.com/archive/year-2022,month-7.cms",31,"https://timesofindia.indiatimes.com/2022/7/31/archivelist/year-2022,month-7,starttime-44773.cms",Rashmika Mandanna: Now I know why everyone loves Delhi food
1698765879-11,https://timesofindia.indiatimes.com/archive.cms,July,"https://timesofindia.indiatimes.com/archive/year-2022,month-7.cms",31,"https://timesofindia.indiatimes.com/2022/7/31/archivelist/year-2022,month-7,starttime-44773.cms","Horoscope Today, 31 July 2022: Check astrological prediction for Aries, Taurus, Gemini, Cancer and other signs"
1698765879-12,https://timesofindia.indiatimes.com/archive.cms,July,"https://timesofindia.indiatimes.com/archive/year-2022,month-7.cms",31,"https://timesofindia.indiatimes.com/2022/7/31/archivelist/year-2022,month-7,starttime-44773.cms","Weekly Horoscope, 31 July to 6 August 2022: Check predictions for all zodiac signs"
1698765879-13,https://timesofindia.indiatimes.com/archive.cms,July,"https://timesofindia.indiatimes.com/archive/year-2022,month-7.cms",31,"https://timesofindia.indiatimes.com/2022/7/31/archivelist/year-2022,month-7,starttime-44773.cms",Commonwealth Games 2022: Boxer Lovlina Borgohain cruises to quarterfinals
1698765879-14,https://timesofindia.indiatimes.com/archive.cms,July,"https://timesofindia.indiatimes.com/archive/year-2022,month-7.cms",31,"https://timesofindia.indiatimes.com/2022/7/31/archivelist/year-2022,month-7,starttime-44773.cms",CWG 2022: Indian women's TT team goes down 2-3 against Malaysia in quarters
1698765879-15,https://timesofindia.indiatimes.com/archive.cms,July,"https://timesofindia.indiatimes.com/archive/year-2022,month-7.cms",31,"https://timesofindia.indiatimes.com/2022/7/31/archivelist/year-2022,month-7,starttime-44773.cms",PM Modi blames freebie culture for power sector’s losses
1698765879-16,https://timesofindia.indiatimes.com/archive.cms,July,"https://timesofindia.indiatimes.com/archive/year-2022,month-7.cms",31,"https://timesofindia.indiatimes.com/2022/7/31/archivelist/year-2022,month-7,starttime-44773.cms","Thiruveer, Kavya Kalyanram's 'Masooda' title poster out; gives an insight into the concept of movie"
1698765879-17,https://timesofindia.indiatimes.com/archive.cms,July,"https://timesofindia.indiatimes.com/archive/year-2022,month-7.cms",31,"https://timesofindia.indiatimes.com/2022/7/31/archivelist/year-2022,month-7,starttime-44773.cms","CWG 2022: Racing against time, Tejaswin Shankar talks about ‘right timing’"
1698765879-18,https://timesofindia.indiatimes.com/archive.cms,July,"https://timesofindia.indiatimes.com/archive/year-2022,month-7.cms",31,"https://timesofindia.indiatimes.com/2022/7/31/archivelist/year-2022,month-7,starttime-44773.cms",Vandana Katariya's brace hands India second consecutive win in CWG women's hockey
1698765879-19,https://timesofindia.indiatimes.com/archive.cms,July,"https://timesofindia.indiatimes.com/archive/year-2022,month-7.cms",31,"https://timesofindia.indiatimes.com/2022/7/31/archivelist/year-2022,month-7,starttime-44773.cms","Hariyali Teej 2022: Date, Rituals, Celebration and Significance"
1698765879-20,https://timesofindia.indiatimes.com/archive.cms,July,"https://timesofindia.indiatimes.com/archive/year-2022,month-7.cms",31,"https://timesofindia.indiatimes.com/2022/7/31/archivelist/year-2022,month-7,starttime-44773.cms","Hariyali Teej 2022: Date, Rituals, Celebration and Significance"
1698765879-21,https://timesofindia.indiatimes.com/archive.cms,July,"https://timesofindia.indiatimes.com/archive/year-2022,month-7.cms",31,"https://timesofindia.indiatimes.com/2022/7/31/archivelist/year-2022,month-7,starttime-44773.cms","Kerala youth who returned from UAE dies, monkeypox suspected"
1698765879-22,https://timesofindia.indiatimes.com/archive.cms,July,"https://timesofindia.indiatimes.com/archive/year-2022,month-7.cms",31,"https://timesofindia.indiatimes.com/2022/7/31/archivelist/year-2022,month-7,starttime-44773.cms",Sushmita Sen receives a bunch of fan notes; says ‘goodness exists’
1698765879-23,https://timesofindia.indiatimes.com/archive.cms,July,"https://timesofindia.indiatimes.com/archive/year-2022,month-7.cms",31,"https://timesofindia.indiatimes.com/2022/7/31/archivelist/year-2022,month-7,starttime-44773.cms",Boxer Sanjeet bows out of Commonwealth Games 2022
1698765879-24,https://timesofindia.indiatimes.com/archive.cms,July,"https://timesofindia.indiatimes.com/archive/year-2022,month-7.cms",31,"https://timesofindia.indiatimes.com/2022/7/31/archivelist/year-2022,month-7,starttime-44773.cms","Cooped up in 18th-floor Kolkata flat, Partha Chatterjee & Arpita Mukherjee's pedigree dogs"
1698765879-25,https://timesofindia.indiatimes.com/archive.cms,July,"https://timesofindia.indiatimes.com/archive/year-2022,month-7.cms",31,"https://timesofindia.indiatimes.com/2022/7/31/archivelist/year-2022,month-7,starttime-44773.cms",Bayern survive Leipzig comeback to win 5-3 and lift German Super Cup
1698765879-26,https://timesofindia.indiatimes.com/archive.cms,July,"https://timesofindia.indiatimes.com/archive/year-2022,month-7.cms",31,"https://timesofindia.indiatimes.com/2022/7/31/archivelist/year-2022,month-7,starttime-44773.cms",Howrah: ‘Huge’ cash haul from car carrying 3 Jharkhand Congress MLAs
1698765879-27,https://timesofindia.indiatimes.com/archive.cms,July,"https://timesofindia.indiatimes.com/archive/year-2022,month-7.cms",31,"https://timesofindia.indiatimes.com/2022/7/31/archivelist/year-2022,month-7,starttime-44773.cms","40 ABVP activists storm Karnataka minister's home, demand ban on PFI"
1698765879-28,https://timesofindia.indiatimes.com/archive.cms,July,"https://timesofindia.indiatimes.com/archive/year-2022,month-7.cms",31,"https://timesofindia.indiatimes.com/2022/7/31/archivelist/year-2022,month-7,starttime-44773.cms",Telangana: BJP set to replicate Bandi Sanjay’s padayatra in other states too
1698765879-29,https://timesofindia.indiatimes.com/archive.cms,July,"https://timesofindia.indiatimes.com/archive/year-2022,month-7.cms",31,"https://timesofindia.indiatimes.com/2022/7/31/archivelist/year-2022,month-7,starttime-44773.cms","Truck in reverse gear crashes into autos on flyover in Ghaziabad, 2 killed"
1698765879-30,https://timesofindia.indiatimes.com/archive.cms,July,"https://timesofindia.indiatimes.com/archive/year-2022,month-7.cms",31,"https://timesofindia.indiatimes.com/2022/7/31/archivelist/year-2022,month-7,starttime-44773.cms","Municipal Corporation of Faridabad closes gate of society with 3,000 flats, says it is built on govt’s land"
1698765879-31,https://timesofindia.indiatimes.com/archive.cms,July,"https://timesofindia.indiatimes.com/archive/year-2022,month-7.cms",31,"https://timesofindia.indiatimes.com/2022/7/31/archivelist/year-2022,month-7,starttime-44773.cms","Municipal Corporation of Faridabad closes gate of society with 3,000 flats, says it is built on govt’s land"
1698765879-32,https://timesofindia.indiatimes.com/archive.cms,July,"https://timesofindia.indiatimes.com/archive/year-2022,month-7.cms",31,"https://timesofindia.indiatimes.com/2022/7/31/archivelist/year-2022,month-7,starttime-44773.cms","Greater Noida: Group turns away party intruder from farmhouse, attacked, cars vandalised"
1698765879-33,https://timesofindia.indiatimes.com/archive.cms,July,"https://timesofindia.indiatimes.com/archive/year-2022,month-7.cms",31,"https://timesofindia.indiatimes.com/2022/7/31/archivelist/year-2022,month-7,starttime-44773.cms",Another couple stages dharna on stairs for flat ‘illegally occupied’ by tenant in Noida Extension
1698765879-34,https://timesofindia.indiatimes.com/archive.cms,July,"https://timesofindia.indiatimes.com/archive/year-2022,month-7.cms",31,"https://timesofindia.indiatimes.com/2022/7/31/archivelist/year-2022,month-7,starttime-44773.cms",Height restrictions removed from buildings near Navi Mumbai airport
