web-scraper-order,month,days,news
1698760111-1,February,28,"Aries Weekly Horoscope, 27 February to 5 March 2023: Effective communications will help in avoiding financial loses"
1698760111-2,February,28,"Taurus Weekly Horoscope, 27 February to 5 March 2023: Resting and recovering will help in improving physical health"
1698760111-3,February,28,Iconic Swami & his friends immortalised as statues in Mysuru
1698760111-4,February,28,Relief for elephants with temple’s robotic tusker
1698760111-5,February,28,Fed's Jefferson: 'No illusion' inflation fight will be quick
1698760111-6,February,28,J&K’s premier health institute SKIMS loses autonomy
1698760111-7,February,28,Jammu & Kashmir: Muslims help with Kashmiri pandit Sanjay Kumar Sharma’s funeral
1698760111-8,February,28,Jammu & Kashmir: Muslims help with Kashmiri pandit Sanjay Kumar Sharma’s funeral
1698760111-9,February,28,Arbaaz Khan says Pathaan success was a payback for the 'poor fellow' Shah Rukh Khan
1698760111-10,February,28,SIU attaches four Srinagar houses used to shelter terrorists
1698760111-11,February,28,"Your daily horoscope, 28th February 2023: Scorpio & Pisces are advised to see their respective doctors"
1698760111-12,February,28,The excitement surrounding S. S. Rajamouli's RRR in Japan continues to reach new heights!
1698760111-13,February,28,We love India’s energy and enthusiasm: The Aristocrats
1698760111-14,February,28,Metamorphosis on display at NIFT
1698760111-15,February,28,Priya Banerjee reveals the reason why she and Prateik Babbar kept their relationship a secret
1698760111-16,February,28,Moubani Sorcar on how the pandemic inspired her first art exhibit
1698760111-17,February,28,Optical illusion: Spot the TWO animals in 3 seconds
1698760111-18,February,28,When Deepika Padukone was skeptical of Ranveer Singh's films: 'Main bhatak jaata had it not been for her'
1698760111-19,February,28,"Exit polls differ on Tripura, put Sangma ahead in Meghalaya"
1698760111-20,February,28,"Covid likely came from Chinese lab, cut US aid: Nikki Haley"
1698760111-21,February,28,CBI gets Manish Sisodia's custody for five days amid AAP protests
1698760111-22,February,28,"Love is in the air! Rumoured couple Aditi Rao Hydari, Siddharth groove to viral 'Tum tum' song"
1698760111-23,February,28,"As Russia faces curbs, Air India to get this year six wide-body A350s meant for Aeroflot"
1698760111-24,February,28,"A month on, Gautam Adani drops from 3rd to 38th in rich list"
1698760111-25,February,28,"Ananya Panday, Aditya Roy Kapur, Bhumi Pednekar at Jackky Bhagnani's party for CKay"
1698760111-26,February,28,'El Nino' fears raise food inflation worry
1698760111-27,February,28,Battle over Shiv Sena whips rocks Maharashtra House as session starts
1698760111-28,February,28,"PM-Kisan Scheme: 13th installment of worth Rs 16,800cr released by Modi"
1698760111-29,February,28,Wilting hopes: Spring bloom may not last long this season with summer’s early entry in Delhi
1698760111-30,February,28,Delhi far from achieving maximum renewable energy potential: Study
1698760111-31,February,28,Admissions to entry-level classes in Delhi's Sarvodaya Vidyalayas start tomorrow
1698760111-32,February,28,Supreme Court to examine if DGP selection process applies to Delhi CP
1698760111-33,February,28,Tamil Nadu govt to present budget on March 20
1698760111-34,February,28,CBSE warns students against spreading fake info on board exams
1698760111-35,February,28,"Missing man surfaces after 13 days, file for anticipatory bail in Rs 2.45 crore fraud case"
1698760111-36,February,28,Polls for 5 Bihar legislative seats on March 31
1698760111-37,February,28,"Most CBI officers against Manish Sisodia's arrest, claims Delhi CM Arvind Kejriwal"
1698760111-38,February,28,Tamil Nadu man puts up posters to mark a year of alcohol-free life
1698760111-39,February,28,2-year-old raped by neighbour in Bihar's Banka village
1698760111-40,February,28,"Class topper flees home to avoid board exam, returns after counselling"
1698760111-41,February,28,TOI impact in Chennai: Illegal bar in Ambattur Estate removed
1698760111-42,February,28,Cong to corner government on farmers’ issues: Nana Patole
1698760111-43,February,28,AAP is trying to hide him behind education: Delhi BJP
1698760111-44,February,28,Environmentalists sceptical of Mhadei authority’s power
1698760111-45,February,28,Nitin Gadkari being sidelined by PM Narendra Modi govt: Shiv Sena (UBT) neta
1698760111-46,February,28,Bengaluru-Mysuru expressway: No toll collection till March 14
1698760111-47,February,28,"DIY teeth aligners? Experts say don't rush, chew over it"
1698760111-48,February,28,Shiv Sena (UBT) legislators must follow Shinde faction’s whip: Chandrashekhar Bawankule
1698760111-49,February,28,BJP’s central engine ignored Goa govt’s appeal: Vijai Sardesai
1698760111-50,February,28,Missing Ponda boy was on Ajmer pilgrimage
1698760111-51,February,28,"Bihar records 10.9% growth rate, third highest in country"
1698760111-52,February,28,"Raccoon, tegu lizards seized at Chennai International Airport; 1 detained"
1698760111-53,February,28,"Days after last-minute cancellation of People’s Carnival, organisers struggle to pay vendors"
1698760111-54,February,28,"22 years on, 25 Tablighi Jamaat families ostracised by their own in Nagbhid"
1698760111-55,February,28,"Cement roads, construction dust, pollution responsible for present health problems: Study"
1698760111-56,February,28,"Manish Sisodia's arrest: CBI says consortium from south formulated excise policy at Delhi hotel, paid Rs 100 crore"
1698760111-57,February,28,"Virus now causing gastro, water contamination ruled out"
1698760111-58,February,28,3 companies of Goa IRBn help maintain peace at Meghalaya polls
1698760111-59,February,28,"Bihar government's focus on good governance, says Governor Rajendra Vishwanath Arlekar"
1698760111-60,February,28,"Don’t work at Surjagarh mining site, Maoists warn villagers"
1698760111-61,February,28,"Villagers scuffle with Bellora mine personnel, stall work"
1698760111-62,February,28,74.79% voter turnout in Erode East bypoll
1698760111-63,February,28,GMC gets students to bridge healthcare gap in rural Goa
1698760111-64,February,28,'Fingers pointed at one community': Supreme Court junks plea to rename places
1698760111-65,February,28,"Following high court order, prematurely retired teachers urged to visit schools for compensation"
1698760111-66,February,28,Pragati transit corridor in Delhi won't be ready for first G20 meet
1698760111-67,February,28,Need all agencies to tackle child begging racket: DGP
1698760111-68,February,28,Tamil Nadu bodybuilder dies as bread he had at workout break stuck in throat
1698760111-69,February,28,Tamil Nadu bodybuilder dies as bread he had at workout break stuck in throat
1698760111-70,February,28,'In national interest': HC upholds Agnipath validity
1698760111-71,February,28,Transplanted banyan tree at Arambol found badly pruned
1698760111-72,February,28,Five rescued from drowning over weekend
1698760111-73,February,28,Senior doctor and Hyderabad MP Asaduddin Owaisi's kin shoots himself at Banjara Hills home
1698760111-74,February,28,"Dharavath Preethi buried in native Jangaon hamlet, kin say Kakatiya Medical College doctors killed her"
1698760111-75,February,28,"Senior citizens, kids in broken marriages to get priority at two free-of-cost mediation centres"
1698760111-76,February,28,"Reopen foreign trade office to boost exports, says GCCI"
1698760111-77,February,28,"AAP workers protest,RJD, JD(U) flay Centre"
1698760111-78,February,28,MIM leader wins Hyderabad MLC seat unopposed
1698760111-79,February,28,Life term to 3 accused already on death row in Rampur attack case in Lucknow
1698760111-80,February,28,Narendra Bhusan to head industrial development department
1698760111-81,February,28,"Warm February depletes Gomti to May-like levels, raises red flag for water scarcity in Lucknow"
1698760111-82,February,28,Display flight info at both airports in Konkani: Vijai Sardesai
1698760111-83,February,28,"Mental health survey to begin soon in Hyderabad; teens, screens and gadgets in focus"
1698760111-84,February,28,Telangana clocks slight rise in Covid cases
1698760111-85,February,28,UP dog owners to give undertaking: New rules issued for pets & strays
1698760111-86,February,28,MDMK leader Vaiko condemns Manish Sisodia arrest
