web-scraper-order,month,days,news
1698761693-1,April,30,"Jazz is winning hearts once again, age no bar"
1698761693-2,April,30,Hariprriya returns to the sets eight months after marriage
1698761693-3,April,30,"Dhanya Ramkumar stars in a mystery love saga, inspired by a true story"
1698761693-4,April,30,Indian cinema and jazz: A love story
1698761693-5,April,30,"""The most common types of e-commerce frauds include those related to credit cards, identity theft ...."""
1698761693-6,April,30,"Woman, two aides strangle man, burn body in Ludhiana’s Jamalpur"
1698761693-7,April,30,10 booked for fraudulently selling residential plot in UP's Pilibhit
1698761693-8,April,30,Your daily horoscope on 30th April 2023
1698761693-9,April,30,Lucknow youth shoots self dead following argument with family members about spicy food
1698761693-10,April,30,"Rajkummar Rao, Gulshan Deviah and more: Team 'Badhaai Do' celebrates its multiple wins at Filmfare Awards 2023"
1698761693-11,April,30,Couples struggle to reach wedding halls due to traffic restrictions for PM Modi's roadshow in Bengaluru
1698761693-12,April,30,Jailed ganglord Mukhtar Ansari gets 10-year jail for BJP MLA’s murder
1698761693-13,April,30,"Assembly election: Congress abused me 91 times, Karnataka voters will reply, says PM Narendra Modi"
1698761693-14,April,30,"Assembly election: Congress abused me 91 times, Karnataka voters will reply, says PM Narendra Modi"
1698761693-15,April,30,(Exclusive) Sooraj Pancholi: I am still getting used to me being a free man
1698761693-16,April,30,"Cut-off for JEE(Advanced) at four-year high in general category, five-year high for reserved"
1698761693-17,April,30,"Cut-off for JEE(Advanced) at four-year high in general category, five-year high for reserved"
1698761693-18,April,30,Slain IAS officer’s widow moves Supreme Court against release of Anand Mohan
1698761693-19,April,30,"Defamation case not serious, courts erred: Rahul Gandhi’s lawyer"
1698761693-20,April,30,Russian Olympic silver medallist Svetlana Varganov held in Goa drug bust
1698761693-21,April,30,"Sexual harassment complaints, FIRs: Wrestling body chief says ready for probe but ‘won’t resign as a criminal’"
1698761693-22,April,30,ED searches Byju’s premises in Fema probe
1698761693-23,April,30,"Titanium Tomy becomes 1st Indian to sail solo around the world, comes second in global race"
1698761693-24,April,30,How the Hakki-Pikki tribals ended up in conflict-torn Sudan
1698761693-25,April,30,"19-year-old girl dreams to become 'lady don', marries gangster"
1698761693-26,April,30,Fliers protest at Dabolim after flight late by 4 hours
1698761693-27,April,30,Bombay high court declines pre­-arrest bail to man booked for ‘unnatural’ sex
1698761693-28,April,30,Patchy line: Goa Broadband Network faces external audit
1698761693-29,April,30,Assam gives out menstrual cards to schoolgirls to track pregnancy
1698761693-30,April,30,"Mumbai: More adults than before take shots, but majority don't"
1698761693-31,April,30,Govt to sell buffer wheat stock every quarter to control price
1698761693-32,April,30,Govt to sell buffer wheat stock every quarter to control price
1698761693-33,April,30,"Jazz is challenging, it takes character to stick with it: Amyt Datta"
1698761693-34,April,30,'GR to award Dharavi project delayed as TDR not calculated'
1698761693-35,April,30,Sixty and single in the city? You have a right to find a companion
1698761693-36,April,30,Don’t rely on Wikipedia info for verdicts: Madras high court to lower court
1698761693-37,April,30,Ratnagiri: Barsu villagers set three conditions for talks with government
1698761693-38,April,30,"NEERI okays waste plant plan, UT to take final call"
1698761693-39,April,30,"67 new Covid cases in Panchkula, 47 in UT, 17 in Mohali"
1698761693-40,April,30,Visa fraud accused has fled to Canada: Lawyer
1698761693-41,April,30,"JEE (Mains): Raghav Goyal tops Tricity, 3 others in top 100"
1698761693-42,April,30,"Man duped of Rs 80,000 by online fraudsters in Chandigarh"
1698761693-43,April,30,You can't carry pets on Chennai metro trains
1698761693-44,April,30,"Effective prosecution, witness security helped in conviction of Ansari brothers"
1698761693-45,April,30,"Man poses as NIA agent, arrested for cheating"
1698761693-46,April,30,"Three dead, 10 missing as godown-cum-house built in 2014 collapses in Maharashtra's Bhiwandi"
1698761693-47,April,30,"Mann ki Baat plays important role in uniting people, says governor"
1698761693-48,April,30,Demand for IG inquiry into plaints over food in Amt jail
1698761693-49,April,30,‘Biowaste in garbage not from GMCH’
1698761693-50,April,30,Kilambakkam bus terminus in Chennai to open in June
1698761693-51,April,30,"After Mann ki Baat, Churchill sings paeans to Modi"
1698761693-52,April,30,"Stagecraft tried to develop theatre culture in last 20 yrs, says Vikash Khurana"
