web-scraper-order,month,days,news
1698760975-1,June,30,"Astronomers reveal universe has a ""Background Hum"", know what it sounds like"
1698760975-2,June,30,"‘Salgaocar have not shut shop, flicker of hope club will make a comeback’"
1698760975-3,June,30,France braces for another night of violence after deadly police shooting of 17-year-old
1698760975-4,June,30,1st batch of pilgrims to leave for Amarnath shrine; LG likely to flag off yatra on July 1
1698760975-5,June,30,‘A lot needs to be done for workplace inclusivity for the LGBTQ community’
1698760975-6,June,30,‘A lot needs to be done for workplace inclusivity for the LGBTQ community’
1698760975-7,June,30,"Aaliya Siddiqui clarifies she hasn't taken alimony from Nawazuddin Siddiqui, reveals their daughter Shora's reaction to her new man from Italy"
1698760975-8,June,30,Madonna is back home from hospital following illness: source
1698760975-9,June,30,India asks China to abide by SCS ruling Beijing calls null and void
1698760975-10,June,30,Optical Illusion: Only those with sharp eyesight can see the hidden panda
1698760975-11,June,30,Satyaprem Ki Katha box office collection day 1 early prediction: Kartik Aaryan-Kiara Advani's film won't score in double digits
1698760975-12,June,30,"Ahead of SCO summit, Russia tells India situation under control"
1698760975-13,June,30,"UP: 7 dead, 2 injured after SUV carrying electrocuted man rams into truck"
1698760975-14,June,30,"After dismissing minister Senthil Balaji, Tamil Nadu governor R N Ravi hits pause following outrage"
1698760975-15,June,30,States told to equip all panchayats to accept digital payments by August 15
1698760975-16,June,30,P&G India to invest Rs 2k crore in export hub in Gujarat
1698760975-17,June,30,Indian telescope & astronomers help global team hear 'humming' of gravitational waves
1698760975-18,June,30,Mormugao Port allows fertiliser handling to boost revenue
1698760975-19,June,30,WHERE IS THE HALF-CUT TOMATO IN MY TARRI POHA?
1698760975-20,June,30,Cong: BJP govt hatching plan to shut down Dabolim airport
1698760975-21,June,30,"Not just tomatoes, other veggies in Rs100 a kg club too"
1698760975-22,June,30,"Governor has no power to dismiss minister unilaterally, would have failed legal scrutiny: Experts"
1698760975-23,June,30,"Karnataka CM Siddaramaiah faces challenge of clearing Rs 36,000 crore dues"
1698760975-24,June,30,"Karnataka CM Siddaramaiah faces challenge of clearing Rs 36,000 crore dues"
1698760975-25,June,30,"Karnataka CM Siddaramaiah faces challenge of clearing Rs 36,000 crore dues"
1698760975-26,June,30,"Rs 19 lakh of Pragati Maidan tunnel heist money recovered, gang involved in robbery of Rs 1 crore too"
1698760975-27,June,30,"In Kolkata, Khuti puja on Eid to spread harmony"
1698760975-28,June,30,Delhi cabinet: Atishi gets finance and revenue in rapid rise
1698760975-29,June,30,"To contain tax evasion, state to crack down on fraudulent GST registrations"
1698760975-30,June,30,100mm of rain: Delhi's wettest June in 6 years
1698760975-31,June,30,Yuri: We will question govt over sacking of university staff
1698760975-32,June,30,Bank has promised to preserve HDFC way of working after merger: Parekh
1698760975-33,June,30,Centre's stand on FCI rice sale to top agenda
1698760975-34,June,30,Survey to find out actual no. of cars on city roads
1698760975-35,June,30,100mm of rain: Delhi's wettest June in 6 yrs
1698760975-36,June,30,Buzz about reshuf f le ahead of July 3 meeting of ministers' council
1698760975-37,June,30,Going green: A public toilet made of eco-bricks & fly-ash
1698760975-38,June,30,"Athletes bring home 13 gold, 2 silver medals from spl Olympics"
1698760975-39,June,30,Three of family end lives due to financial burden
