web-scraper-order,month,days,news
1698761571-1,July,31,Sheeba says she's elated with the response on her scene with Dharmendra in 'Rocky Aur Rani Kii Prem Kahaani'
1698761571-2,July,31,Independence Day order to J&K officials: Selfies with flag as DP
1698761571-3,July,31,Probe ordered after man complaining of chest pain dies in police lockup in Udhampur
1698761571-4,July,31,Your daily horoscope: 31st July 2023
1698761571-5,July,31,Baatein Kuch Ankahee Si: Legendary singer Usha Uthup to grace the TV show
1698761571-6,July,31,Cycling enthusiasts try slow travel with bikepacking
1698761571-7,July,31,Coal transport by all rail route costs less than through port-rail mode: Rail ministry report
1698761571-8,July,31,"43 dead, 200 wounded in suicide bombing at rally by Shehbaz Shah's ally"
1698761571-9,July,31,"Sanjana Sanghi: Though I live in Mumbai, my heart lies in Delhi"
1698761571-10,July,31,"Constitution benches pendency: 29 cases, oldest one on for 31 years"
1698761571-11,July,31,"If left untamed, Manipur trouble may pose threat to national security: Opposition"
1698761571-12,July,31,One more Atiq Ahmed's lawyer held in Umesh Pal murder case
1698761571-13,July,31,"Divide Manipur into 3 Union territories, demands Kuki leader and BJP MLA"
1698761571-14,July,31,"Governor can offer motherly touch, says Congress MP"
1698761571-15,July,31,"As BJP eyes OBCs in UP, woman MLA from SP likely to join party"
1698761571-16,July,31,"As BJP eyes OBCs in UP, woman MLA from SP likely to join party"
1698761571-17,July,31,"No CIC, 3 members for 6 months, 1 lakh appeals pending: Maharashtra CM Eknath Shinde"
1698761571-18,July,31,"Parliament panel’s report on data security bill illegal, CPM MP John Brittas"
1698761571-19,July,31,NMC members' asset information still not uploaded as law mandates
1698761571-20,July,31,Optical illusion personality test: What you see first can reveal your emotional strength
1698761571-21,July,31,"To end caste bias, IIT-Bombay says don't ask mates their JEE ranks"
1698761571-22,July,31,"To end caste bias, IIT-Bombay says don't ask mates their JEE ranks"
1698761571-23,July,31,"For governor's missed flight, AirAsia suspends staffer"
1698761571-24,July,31,Amit Shah to introduce NCT services bill in Lok Sabha today
1698761571-25,July,31,Trees and toilets are this company’s way of giving back to society
1698761571-26,July,31,Indian units of foreign cos face GST queries on ESOPs
1698761571-27,July,31,Pharma sector set to get formula right
1698761571-28,July,31,Bouncing back from rock bottom
1698761571-29,July,31,"Paytm sees Rupay credit card-on-UPI growing, eyes leading role"
1698761571-30,July,31,AFC U-23 Asian Cup 2024 qualifiers: Clubs reluctant to release U-23 players for a month
1698761571-31,July,31,"SBI raises Rs 10,000 crore by issuing infra bonds at 7.54%"
