web-scraper-order,month,days,news
1698762274-1,September,30,I’ve signed my fourth film but I have not sent out an audition to anyone yet: Ankita Amar
1698762274-2,September,30,Tejaswini Prakash expecting her first child with husband Phani Varma
1698762274-3,September,30,Stand-up comics debate on how much content can be fabricated
1698762274-4,September,30,World Coffee Conference: A celebration of the brew and its lovers in Bengaluru
1698762274-5,September,30,World Heart Day: Role played by ECMO in critical care
1698762274-6,September,30,Bandhs cast a shadow on long weekends and tourism during the festive season in Mysuru
1698762274-7,September,30,World Coffee Conference: A celebration of the brew and its lovers in Bengaluru
1698762274-8,September,30,I believe versatility brings out the best in an actor: Gagana Kunchi
1698762274-9,September,30,I want Rishab Shetty to direct my biopic: Rakhi Sawant
1698762274-10,September,30,Magic is a male-dominated space; I worked hard to get where I am: Suhani Shah
1698762274-11,September,30,"New York City area under state of emergency after storms flood subways, strand people in cars"
1698762274-12,September,30,AIFF wants Stimac to stay till 2026 but coach undecided
1698762274-13,September,30,60 killed in twin suicide blasts in Pakistan as people gather at mosques to celebrate Prophet’s birthday
1698762274-14,September,30,"Republicans reject own funding bill, US government shutdown imminent"
1698762274-15,September,30,"Sugar free syrups for mocktails, juices & other beverages"
1698762274-16,September,30,Radical Sikhs prevent Indian high commissioner from entering gurdwara in Scotland
1698762274-17,September,30,Radical Sikhs prevent Indian high commissioner from entering gurdwara in Scotland
1698762274-18,September,30,Two live mortar shells found in village along international border in Kathua destroyed
1698762274-19,September,30,Khatron Ke Khiladi 13: Host Rohit Shetty and challenger Hina Khan take a dig at Archana Gautam-Shiv Thakare's equation; says 'ek teeli hai dusra maachis ka dabba'
1698762274-20,September,30,Kumar Sanu reveals 'khadoos' Anu Malik never encouraged singers as he calls Chura Ke Dil Mera remake 'gobar'
1698762274-21,September,30,A green card processing change means US could lose thousands of faith leaders from abroad
1698762274-22,September,30,"US auto strike expands with 7,000 more workers joining"
1698762274-23,September,30,Mexico sees migrant 'crisis' at US-Mexico border as numbers spike
1698762274-24,September,30,Russia is set to avoid a full ban from the 2024 Paralympics in Paris
1698762274-25,September,30,Duane Davis charged with murder in Tupac Shakur's case
1698762274-26,September,30,"Hackers target Canada sites, ISI hand suspected"
1698762274-27,September,30,"US, Canada dial down diatribe against India on Nijjar killing"
1698762274-28,September,30,"US, Canada dial down diatribe against India on Nijjar killing"
1698762274-29,September,30,Michigan judge to decide whether Oxford High School shooter gets life in prison or chance at parole
1698762274-30,September,30,Anil Sharma recalls how he made Naseeruddin Shah wear a bikini in his 1992 film Tahalka: People went crazy
1698762274-31,September,30,Prosecutors charge suspect in 1996 shooting of US rapper Tupac Shakur
1698762274-32,September,30,Law panel seeks shield for couples in 16-18 age group
1698762274-33,September,30,October babies: Birthdays of famous people born in October
1698762274-34,September,30,Do you see Lionel Messi or Rohit Sharma in this image?
1698762274-35,September,30,Shoaib Ibrahim’s sister Saba reacts to a user asking her if she would participate in Bigg Boss; here’s what her family thinks
1698762274-36,September,30,"146 tigers dead in 9 months, highest in last 11 years: NTCA"
1698762274-37,September,30,"Karnataka to move SC against Cauvery panel order to release 3,000 cusecs of water daily"
