,Date,news
0,30-01-2020,Posers on wish to get Tata Dam water for dist
1,30-01-2020,Citizens gear up to wage another green war
2,29-01-2020,"Tata Motors raises bar for rivals with killer pricing, range for Nexon EV"
3,29-01-2020,"Tata Motors raises bar for rivals with killer pricing, range for Nexon EV"
4,29-01-2020,Sensex tanks 188 pts over Wuhan woes
5,28-01-2020,BSE inks pact with NYSE parent for Brent F&O
6,28-01-2020,Sensex tanks 458 pts on epidemic fears
7,28-01-2020,Ex-Citi chief may join Tata Trusts
8,28-01-2020,Padma for Adnan Sami triggers Congress-BJP war of words
9,28-01-2020,Padma for Adnan Sami triggers Congress-BJP war of words
10,27-01-2020,Shaheen Bagh: CM & Shah in bitter war
11,27-01-2020,Army stocking up munitions for 40-day war
12,27-01-2020,Two war widows honoured in Chennai
13,26-01-2020,Coronavirus outbreak: Lockdown in Wuhan University worries parents in Chennai
14,26-01-2020,"Tata co. serves notice on LSCL, MC"
15,25-01-2020,Tata lays claim on safest car-maker tag
16,24-01-2020,"Sensex drops over 70 points; Nifty below 12,200"
17,23-01-2020,Sensex sheds 1.1k pts from high in 3 days
18,23-01-2020,Force Motors invests Rs 1k cr over 4 yrs on new platform
19,23-01-2020,"Force Motors invests Rs 1,000cr on next-gen platform"
20,23-01-2020,"AAP, BJP in war of words over Shaheen Bagh protests"
21,23-01-2020,Pune: Automobile company’s DGM duped of Rs 2.94 lakh in I-T refund fraud case
22,22-01-2020,NSE beats CME to be world’s top F&O bourse
23,22-01-2020,Uppal man wages war against plastic for 7 years
24,21-01-2020,"Rising prices & crude, weak Q3 results weigh on sensex"
25,19-01-2020,Decision to introduce Nexon EV based on cost factor: Tata Motors
26,19-01-2020,Decision to introduce Nexon EV based on cost factor: Tata Motors
27,18-01-2020,Khadag Shakti war exercise in Bikaner
28,17-01-2020,"Wage war against open sale of acid, says CM Nath"
29,17-01-2020,Sebi clears nine current and former NSE executives
30,17-01-2020,"Rising veggie, grain prices pushing inflation to highest in five years"
31,16-01-2020,"Nagpur: Minor battle won, bigger green war remains"
32,15-01-2020,WPI inflation jumps to 7-month high of 2.6% In December
33,15-01-2020,"In tweet, Nakul Nath attacks Modi for shrinking jobs, rising inflation"
34,15-01-2020,Bengal beats big states in curbing retail inflation
35,14-01-2020,Food prices drive retail inflation to 5.5-year high
36,14-01-2020,Sensex hits record 41.9k intraday
37,12-01-2020,War against mental illness gets boost as teachers to be trained to help kids fight it
38,11-01-2020,Madhya Pradesh: Relief to victims now focus in war against land mafia
39,10-01-2020,Sensex shoots up 635 points on easing US-Iran tensions
40,10-01-2020,Sensex shoots up 635 points
41,08-01-2020,Tata Capital CFO quits as co looks to raise funds
42,08-01-2020,Lt Gen P N Hoon picked up golfing skills during 1965 war in Pakistan
43,07-01-2020,"Iran crisis: Sensex crashes 788, ₹ slides, gold at record high"
44,07-01-2020,"HCU to AMU to JNU, campuses new battlefield for ideological war"
45,07-01-2020,Can't keep funding losses at UK's steel plant: Tata Group chairman N Chandrasekaran
46,07-01-2020,Barmer cops arrest 2 for Dec 31 gang war
47,05-01-2020,World War II POW’s son make emotional trip from Milan to Bengaluru
48,05-01-2020,Donald Trump threatens to bomb Iranian cultural sites in move seen as war crime
49,04-01-2020,Tata Sons’ conversion remains illegal: NCLAT
50,04-01-2020,"Sensex slides 162 pts, Re loses 44p to 71.81"
51,04-01-2020,"Tata Trustee, group cos move SC against relief to Mistry"
52,04-01-2020,RJD-JD(U) poster war escalates
53,04-01-2020,Ratan Tata too in SC against Mistry order: ‘He lacked leadership’
54,04-01-2020,Delhi: Congress sets up war room ahead of polls
55,03-01-2020,"After Cyrus Mistry’s exit, growing under N Chandrasekaran: Tata Sons"
56,03-01-2020,"Manish Sisodia, Harsh Vardhan in war of words over parent-teacher meet"
57,03-01-2020,DKD family war to air Grand Finale on January 5
58,03-01-2020,SBI looks to divest 1% stake in NSE
59,03-01-2020,Corporate affairs min says no illegality in conversion of Tata Sons into pvt co; NCLAT reserves order
60,02-01-2020,"Sensex rises over 100 points; Nifty reclaims 12,200"
61,29-02-2020,Coronage: Sensex suffers its 2nd-biggest 1-day loss ever
62,29-02-2020,Cycling stars in lockdown as two Gulf hotels isolated over coronavirus scare
63,28-02-2020,Sensex down 1.4k pts in 5 days
64,28-02-2020,"War memorial, 7D theatre & yoga centre in PCMC budget"
65,27-02-2020,"Sensex falls 1,281 pts in 4 sessions"
66,27-02-2020,Govt signs MoU with Tata Trust to open 115 health and wellness centres in 23 districts
67,25-02-2020,"Sensex tanks 807 pts, gold at lifetime high of Rs 43,250"
68,25-02-2020,"Sensex tanks 807 pts, gold at lifetime high of Rs 44,472"
