,Date,news
0,31-01-2021,Bengaluru: Businessman nabbed as Jaguar hits tree near CM’s house
1,31-01-2021,Pimpri Chinchwad: Civic staff get allowance for service during lockdown
2,31-01-2021,BMC bags awards for distributing food kits during lockdown
3,31-01-2021,Anna University loses 2 M Tech courses in Tamil Nadu’s quota war with Centre
4,31-01-2021,"Child deaths reduced in 2020, and lockdown was main reason"
5,30-01-2021,Farmers' protest: Singhu turns war zone as farmers fight ‘locals’ seeking end to stir
6,30-01-2021,Mounted cops beat lockdown hurdles to stay on saddle
7,30-01-2021,"Tata Motors Q3 net jumps 65% to Rs 3,222 crore on JLR"
8,30-01-2021,"Volatility on Street ahead of Budget, bear grip on sensex"
9,30-01-2021,Swedish co SSAB drops plans to buy Tata Steel’s Dutch biz
10,30-01-2021,Battle for cities crucial in war for state’s local bodies
11,30-01-2021,"CPI inflation shoots up to 8.5%, follows national trend"
12,30-01-2021,1971 Bangladesh war veterans felicitated in Jhunjhunu district
13,30-01-2021,Pune Municipal Corporation plans health policy after pandemic scorcher
14,30-01-2021,"Light & sound show resumes at War Memorial, attendees restricted to 150"
15,29-01-2021,"Turf war near minister’s Kasba home, 6 held"
16,29-01-2021,"Sensex slides for 5th day in a row, loses 536 points"
17,29-01-2021,"Hit by pandemic & rising fuel rates, transporters seek relief in Union budget"
18,29-01-2021,UP to drop lockdown breach charges against migrants
19,29-01-2021,UP to drop lockdown breach charges against migrants
20,29-01-2021,UP to drop lockdown breach charges against migrants
21,29-01-2021,UP to drop lockdown breach charges against migrants
22,29-01-2021,Last year’s lockdown led to drastic decline in road accident deaths
23,29-01-2021,Lockdown effect: Accident calls to 108 dipped by 47% in 2020
24,28-01-2021,"Sensex dives 938 pts over profit-booking, FPI selloff"
25,28-01-2021,Lockdown helps cops curb road deaths in south dists
26,27-01-2021,Pandemic job cuts hit women harder: Study
27,27-01-2021,My lockdown takeaway: Some wars can be won with love
28,27-01-2021,Aero India 2021: Plane carnival in Bengaluru amid pandemic
29,27-01-2021,Exclusive: Despite the pandemic Aditi Rao Hydari had a busy 2020! She opens up
30,27-01-2021,Saudi Arabia hosts 'Davos in Desert' amid pandemic
31,27-01-2021,Saudi Arabia hosts 'Davos in Desert' amid pandemic
32,27-01-2021,"Sensex dives 938 points amid selloff across all sectors; Nifty ends at 13,968"
33,26-01-2021,The pandemic has made serial shoots much more organised: Gourab Chatterjee
34,26-01-2021,Telecom cables trigger Centre-state turf war
35,26-01-2021,Flag sales drop amid Covid-19 pandemic
36,26-01-2021,"Sensex tanks 531 points on China feud, RIL’s 5% drop"
37,26-01-2021,"Kolkata: Covid-19 pandemic has paved way for rampant antibiotic use, says experts"
38,26-01-2021,Jharkhand Guv lauds EC for smooth polls during pandemic
39,25-01-2021,Pandemic has brought about an era of compressed transformation
40,25-01-2021,Demand for Gangotri water skyrocketed during lockdown
41,25-01-2021,"Over 23,000 PM-Kisan payouts failed during lockdown time in Rajasthan: RTI"
42,25-01-2021,IIM-Ahmedabad paper highlights how Gujarat managed pandemic
43,25-01-2021,Mumbai: Republic Day set to unfold with pandemic protocols on Tuesday
44,25-01-2021,Cyber city comes alive as runners hit the streets amid pandemic
45,25-01-2021,Cyber city comes alive as runners hit the streets amid pandemic
46,24-01-2021,Narayani Shastri: The lockdown period pushed me to start painting and I realised it was meditation for me
47,24-01-2021,Traffic rule violations rise in Nashik city after lockdown
48,24-01-2021,"First timers take a leap of faith, start new restaurants in pandemic"
49,24-01-2021,Pandemic cravings give chaat a creative makeover
50,23-01-2021,Shabir: Thanimai documents my state of being during the lockdown
51,23-01-2021,Sensex dives 746 pts after profit-booking
52,23-01-2021,Last-minute air fare soars for the first time since pandemic
53,23-01-2021,"From pilot to global marketing exec, how losing job during lockdown helped many kickstart their dream of turning chef, running ‘food biz’"
54,23-01-2021,Lockdown bold decision to snap Covid chain: UP CM
55,23-01-2021,Tata Power warns about fake bulbs
56,22-01-2021,"Sensexceptional: BSE index breaches 50,000 mark for first time"
57,22-01-2021,Puneites take time during pandemic to write stories
58,22-01-2021,Delhi HC pulls up AAP govt and corporations over fund war
59,22-01-2021,Frontline workers during pandemic honoured
60,21-01-2021,Nila Madhab Panda: IFFI has reinvented itself in the pandemic
61,21-01-2021,Digital wedding invites that tell a story in demand in pandemic year
62,21-01-2021,"Exclusive: Lockdown affected every strata of society. My film will capture that, says Madhur Bhandarkar"
63,21-01-2021,Film insurance rebounds after pandemic hit
64,21-01-2021,"Sensex nears 50,000 on global cues"
65,21-01-2021,Home loan rate war leads to Banks eat into NBFCs market share
66,21-01-2021,Tata Tech focus on electric mobility
67,21-01-2021,Pandemic brings Iffi expenses down by 50%
68,21-01-2021,Kolkata: Home run by Netaji to reopen after lockdown on January 23
69,20-01-2021,"Germany extends, tightens partial lockdown to mid-February, says Merkel"
70,20-01-2021,Sensex jumps 834 pts on bigger US stimulus hopes
71,20-01-2021,Act of compassion: When a cop helped me feed strays through lockdown
72,20-01-2021,Man who went to buy garland during lockdown found guilty
73,19-01-2021,9-year-old legal war hots up: Government authorises Antrix to file winding up plea against Devas in tribunal
74,19-01-2021,Sensex slips 470 pts on new infections in China
75,18-01-2021,"Despite lockdown restrictions, crime rate saw 17% increase in 2020"
76,18-01-2021,"AQI: Rains, Covid-19 lockdown saved Hyderabad from slipping into ‘poor category’"
77,18-01-2021,"Bengal: TMC, BJP in war of words over vaccine"
78,17-01-2021,Hobbying it up through a pandemic
79,17-01-2021,‘Expecting pandemic to end with vaccine roll out is too optimistic an assumption’
80,17-01-2021,Swasthya Bhawan turns 3-tier war room
81,17-01-2021,No cases against lockdown violators: ​Pune police commissioner
82,17-01-2021,"Call on lockdown was not easy, assessed impact: PM"
83,16-01-2021,Sensex swings nearly 900 pts on global cues
84,16-01-2021,It’s call of duty: Night of vigil for warriors securing weapon against corona pandemic
85,16-01-2021,Victory flame of ’71 war reaches Hisar
86,16-01-2021,War room in Delhi to keep real-time tabs on Operation Vaccine
87,15-01-2021,"Bizarre, scary, even funny! Travel gets a twist in these pandemic times"
88,15-01-2021,Sensex may hit 50k today as US stocks rally on Biden plan
89,15-01-2021,Biting cold & pandemic fail to dampen spirits on Day 1
90,15-01-2021,"Ensure pandemic SOP after resuming on-campus classes, CISCE tells schools"
91,15-01-2021,Wholesale inflation eases to 4-mth low at 1.2% in December
92,15-01-2021,Sensex may hit 50k today as US stocks rally on Biden plan
93,14-01-2021,‘People of state to win war against Covid’
94,14-01-2021,"Night curfew, lockdown hit sale of kites in Jaipur"
95,12-01-2021,"Sensex races past 49K mark as IT, financials rally"
96,12-01-2021,Vax populi: ‘Z+ security’ for pandemic era’s vials of gold
97,12-01-2021,Sensex surges from 48k to 49k in 5 sessions on foreign fund buying
98,12-01-2021,War heroes’ kin can now reserve Punjab govt job for minor child
99,11-01-2021,Pandemic fuels demand for relocating to Uttarakhand hills
